N      Time         Average_OB     Max_OB   Min_OB  
1      0.001610     0.00           0        0       
2      0.005542     1.00           1        1       
3      0.006499     2.63           3        2       
4      0.007364     4.75           6        4       
5      0.008623     7.28           10       6       
6      0.009658     10.16          15       8       
7      0.010626     13.31          21       10      
8      0.011784     16.71          28       13      
9      0.013181     20.35          36       16      
10     0.015103     24.19          45       19      
11     0.017001     28.20          53       22      
12     0.018809     32.43          66       25      
