N      Time         Average_OB     Max_OB   Min_OB  
1      0.001648     0.00           0        0       
2      0.005589     1.00           1        1       
3      0.006825     2.70           3        2       
4      0.007605     4.83           6        4       
5      0.009249     7.45           10       6       
6      0.010311     10.27          15       8       
7      0.011246     13.58          21       10      
8      0.012535     16.93          28       13      
9      0.014011     20.64          36       16      
10     0.016059     24.43          45       19      
11     0.017982     28.53          53       22      
12     0.019958     32.66          63       25      
