N      Time         Average_OB     Max_OB   Min_OB  
1      0.001650     0.00           0        0       
2      0.005674     3.50           4        3       
3      0.005420     4.67           5        4       
4      0.007442     9.18           10       8       
5      0.007297     12.28          15       10      
6      0.009365     16.25          18       14      
7      0.010395     20.44          24       16      
8      0.011519     24.71          29       21      
9      0.012961     29.26          35       24      
10     0.014848     33.96          41       29      
11     0.016933     38.86          48       32      
12     0.019053     43.84          55       37      
