N      Time         Average_OB     Max_OB   Min_OB  
1      0.002676     0.00           0        0       
2      0.010153     1.00           1        1       
3      0.013108     2.67           3        2       
4      0.015929     4.66           5        4       
5      0.019393     7.19           8        5       
6      0.022662     9.84           11       7       
7      0.027458     12.74          14       9       
8      0.032496     15.71          17       12      
9      0.038940     19.24          21       13      
10     0.043003     22.68          25       15      
11     0.048915     26.30          29       19      
12     0.053671     29.94          33       22      
13     0.060574     33.86          37       25      
14     0.065037     37.70          41       28      
15     0.071966     41.65          45       32      
16     0.077358     45.65          49       34      
17     0.086781     50.16          54       40      
18     0.091870     54.54          59       43      
19     0.097846     59.04          64       46      
20     0.107601     63.51          69       51      
21     0.109786     68.15          74       54      
22     0.116334     72.72          79       56      
23     0.123088     77.35          84       63      
24     0.128176     82.01          89       67      
25     0.136946     86.94          94       74      
26     0.143265     91.76          99       77      
27     0.150156     96.66          104      83      
28     0.158254     101.53         109      85      
29     0.164344     106.51         114      88      
30     0.172581     111.44         119      95      
31     0.177397     116.41         124      101     
32     0.184900     121.41         129      105     
33     0.191098     126.92         135      111     
34     0.200852     132.29         141      116     
35     0.205629     137.78         147      121     
36     0.208576     143.15         153      126     
37     0.219378     148.67         159      130     
38     0.229826     154.12         164      137     
39     0.233235     159.63         170      140     
40     0.238987     165.08         176      146     
41     0.248214     170.75         183      151     
42     0.255430     176.32         189      157     
43     0.267765     181.96         194      160     
44     0.269556     187.52         200      169     
45     0.282590     193.20         205      171     
46     0.288072     198.82         212      179     
47     0.290395     204.47         218      185     
48     0.297383     210.14         223      190     
49     0.307457     216.03         229      194     
50     0.312117     221.88         235      200     
