N      Time         Average_OB     Max_OB   Min_OB  
1      0.002713     0.00           0        0       
2      0.008540     1.00           1        1       
3      0.010035     2.63           3        2       
4      0.011737     4.75           6        4       
5      0.013845     7.28           10       6       
6      0.015907     10.14          15       8       
7      0.018911     13.31          21       10      
8      0.022386     16.71          28       13      
9      0.026422     20.35          36       16      
10     0.030083     24.22          45       19      
11     0.033433     28.19          55       22      
12     0.037988     32.38          65       25      
13     0.042086     36.75          74       28      
14     0.046460     41.26          86       31      
15     0.050558     45.86          87       34      
16     0.054570     50.61          94       38      
17     0.059332     55.50          110      42      
18     0.063388     60.48          115      46      
19     0.067727     65.54          133      50      
20     0.071910     70.73          136      54      
21     0.075027     76.03          147      58      
22     0.079034     81.44          155      62      
23     0.083139     86.89          169      66      
24     0.086534     92.41          178      70      
25     0.092151     98.08          195      74      
26     0.100781     103.70         183      79      
27     0.102611     109.52         210      83      
28     0.105376     115.48         227      88      
29     0.111035     121.38         227      92      
30     0.112801     127.42         254      97      
31     0.120011     133.32         239      102     
32     0.123422     139.48         248      106     
33     0.130635     145.64         253      112     
34     0.133915     151.91         302      115     
35     0.136746     158.27         288      122     
36     0.140697     164.49         312      126     
37     0.149834     170.86         303      130     
38     0.153549     177.53         331      136     
39     0.155340     183.91         354      142     
40     0.160143     190.36         383      147     
41     0.166841     197.11         379      153     
42     0.170070     203.66         368      157     
43     0.174208     210.46         375      161     
44     0.183760     217.14         421      169     
45     0.186523     224.16         433      171     
46     0.193797     230.94         410      177     
47     0.197263     237.75         423      184     
48     0.205169     244.64         429      190     
49     0.211565     251.71         450      195     
50     0.214900     258.58         472      201     
