N      Time         Average_OB     Max_OB   Min_OB  
1      0.000000     1.00           1        1       
2      0.000000     1.50           2        1       
3      0.000000     2.00           3        1       
4      0.000000     2.50           4        1       
5      0.000000     3.00           5        1       
6      0.000000     3.50           6        1       
7      0.000000     4.00           7        1       
8      0.000000     4.50           8        1       
9      0.000000     5.00           9        1       
10     0.000000     5.50           10       1       
11     0.000000     6.00           11       1       
12     0.000000     6.50           12       1       
13     0.000000     7.00           13       1       
14     0.000000     7.50           14       1       
15     0.000000     8.00           15       1       
16     0.000000     8.50           16       1       
17     0.000000     9.00           17       1       
18     0.000000     9.50           18       1       
19     0.000000     10.00          19       1       
20     0.000000     10.50          20       1       
21     0.000000     11.00          21       1       
22     0.000000     11.50          22       1       
23     0.000000     12.00          23       1       
24     0.000000     12.50          24       1       
25     0.000000     13.00          25       1       
26     0.000000     13.50          26       1       
27     0.000000     14.00          27       1       
28     0.000000     14.50          28       1       
29     0.000000     15.00          29       1       
30     0.000000     15.50          30       1       
31     0.000000     16.00          31       1       
32     0.000000     16.50          32       1       
33     0.000000     17.00          33       1       
34     0.000000     17.50          34       1       
35     0.000000     18.00          35       1       
36     0.000000     18.50          36       1       
37     0.000000     19.00          37       1       
38     0.000000     19.50          38       1       
39     0.000000     20.00          39       1       
40     0.000000     20.50          40       1       
41     0.000000     21.00          41       1       
42     0.000000     21.50          42       1       
43     0.000000     22.00          43       1       
44     0.000000     22.50          44       1       
45     0.000000     23.00          45       1       
46     0.000000     23.50          46       1       
47     0.000000     24.00          47       1       
48     0.000000     24.50          48       1       
49     0.000000     25.00          49       1       
50     0.000000     25.50          50       1       
51     0.000000     26.00          51       1       
52     0.000000     26.50          52       1       
53     0.000000     27.00          53       1       
54     0.000000     27.50          54       1       
55     0.000000     28.00          55       1       
56     0.000000     28.50          56       1       
57     0.000000     29.00          57       1       
58     0.000000     29.50          58       1       
59     0.000000     30.00          59       1       
60     0.000000     30.50          60       1       
61     0.000000     31.00          61       1       
62     0.000000     31.50          62       1       
63     0.000000     32.00          63       1       
64     0.000000     32.50          64       1       
65     0.000000     33.00          65       1       
66     0.000000     33.50          66       1       
67     0.000000     34.00          67       1       
68     0.000000     34.50          68       1       
69     0.000000     35.00          69       1       
70     0.000000     35.50          70       1       
71     0.000000     36.00          71       1       
72     0.000000     36.50          72       1       
73     0.000000     37.00          73       1       
74     0.000000     37.50          74       1       
75     0.000000     38.00          75       1       
76     0.000000     38.50          76       1       
77     0.000000     39.00          77       1       
78     0.000000     39.50          78       1       
79     0.000000     40.00          79       1       
80     0.000000     40.50          80       1       
81     0.000000     41.00          81       1       
82     0.000000     41.50          82       1       
83     0.000000     42.00          83       1       
84     0.000000     42.50          84       1       
85     0.000000     43.00          85       1       
86     0.000000     43.50          86       1       
87     0.000000     44.00          87       1       
88     0.000000     44.50          88       1       
89     0.000000     45.00          89       1       
90     0.000000     45.50          90       1       
91     0.000000     46.00          91       1       
92     0.000000     46.50          92       1       
93     0.000000     47.00          93       1       
94     0.000000     47.50          94       1       
95     0.000000     48.00          95       1       
96     0.000000     48.50          96       1       
97     0.000000     49.00          97       1       
98     0.000000     49.50          98       1       
99     0.000000     50.00          99       1       
100    0.000000     50.50          100      1       
101    0.000000     51.00          101      1       
102    0.000000     51.50          102      1       
103    0.000000     52.00          103      1       
104    0.000000     52.50          104      1       
105    0.000000     53.00          105      1       
106    0.000000     53.50          106      1       
107    0.000000     54.00          107      1       
108    0.000000     54.50          108      1       
109    0.000000     55.00          109      1       
110    0.000000     55.50          110      1       
111    0.000000     56.00          111      1       
112    0.000000     56.50          112      1       
113    0.000000     57.00          113      1       
114    0.000000     57.50          114      1       
115    0.000000     58.00          115      1       
116    0.000000     58.50          116      1       
117    0.000000     59.00          117      1       
118    0.000000     59.50          118      1       
119    0.000000     60.00          119      1       
120    0.000000     60.50          120      1       
121    0.000000     61.00          121      1       
122    0.000000     61.50          122      1       
123    0.000000     62.00          123      1       
124    0.000000     62.50          124      1       
125    0.000000     63.00          125      1       
126    0.000000     63.50          126      1       
127    0.000000     64.00          127      1       
128    0.000000     64.50          128      1       
129    0.000000     65.00          129      1       
130    0.000000     65.50          130      1       
131    0.000000     66.00          131      1       
132    0.000000     66.50          132      1       
133    0.000000     67.00          133      1       
134    0.000000     67.50          134      1       
135    0.000000     68.00          135      1       
136    0.000000     68.50          136      1       
137    0.000000     69.00          137      1       
138    0.000000     69.50          138      1       
139    0.000000     70.00          139      1       
140    0.000000     70.50          140      1       
141    0.000000     71.00          141      1       
142    0.000000     71.50          142      1       
143    0.000000     72.00          143      1       
144    0.000000     72.50          144      1       
145    0.000000     73.00          145      1       
146    0.000000     73.50          146      1       
147    0.000000     74.00          147      1       
148    0.000000     74.50          148      1       
149    0.000000     75.00          149      1       
150    0.000000     75.50          150      1       
151    0.000000     76.00          151      1       
152    0.000000     76.50          152      1       
153    0.000000     77.00          153      1       
154    0.000000     77.50          154      1       
155    0.000000     78.00          155      1       
156    0.000000     78.50          156      1       
157    0.000000     79.00          157      1       
158    0.000000     79.50          158      1       
159    0.000000     80.00          159      1       
160    0.000000     80.50          160      1       
161    0.000000     81.00          161      1       
162    0.000000     81.50          162      1       
163    0.000000     82.00          163      1       
164    0.000000     82.50          164      1       
165    0.000000     83.00          165      1       
166    0.000000     83.50          166      1       
167    0.000001     84.00          167      1       
168    0.000000     84.50          168      1       
169    0.000000     85.00          169      1       
170    0.000000     85.50          170      1       
171    0.000000     86.00          171      1       
172    0.000000     86.50          172      1       
173    0.000000     87.00          173      1       
174    0.000000     87.50          174      1       
175    0.000000     88.00          175      1       
176    0.000000     88.50          176      1       
177    0.000000     89.00          177      1       
178    0.000000     89.50          178      1       
179    0.000000     90.00          179      1       
180    0.000000     90.50          180      1       
181    0.000000     91.00          181      1       
182    0.000000     91.50          182      1       
183    0.000000     92.00          183      1       
184    0.000000     92.50          184      1       
185    0.000000     93.00          185      1       
186    0.000000     93.50          186      1       
187    0.000000     94.00          187      1       
188    0.000000     94.50          188      1       
189    0.000000     95.00          189      1       
190    0.000000     95.50          190      1       
191    0.000000     96.00          191      1       
192    0.000000     96.50          192      1       
193    0.000000     97.00          193      1       
194    0.000000     97.50          194      1       
195    0.000000     98.00          195      1       
196    0.000000     98.50          196      1       
197    0.000000     99.00          197      1       
198    0.000000     99.50          198      1       
199    0.000000     100.00         199      1       
200    0.000000     100.50         200      1       
201    0.000000     101.00         201      1       
202    0.000000     101.50         202      1       
203    0.000000     102.00         203      1       
204    0.000000     102.50         204      1       
