N      Time         Average_OB     Max_OB   Min_OB  
1      0.000000     1.00           1        1       
101    0.000000     51.00          101      1       
201    0.000000     101.00         201      1       
301    0.000000     151.00         301      1       
401    0.000001     201.00         401      1       
501    0.000001     251.00         501      1       
601    0.000000     301.00         601      1       
701    0.000001     351.00         701      1       
801    0.000001     401.00         801      1       
901    0.000001     451.00         901      1       
