N      Time         Average_OB     Max_OB   Min_OB  
1      0.000005     0.00           0        0       
31     0.000647     449.34         465      329     
61     0.001973     1787.45        1830     1620    
91     0.003706     4030.91        4095     3795    
121    0.006431     7168.27        7260     6960    
151    0.007173     11201.57       11325    10622   
181    0.005355     16139.69       16290    15300   
211    0.006518     21988.61       22155    21335   
241    0.008193     28736.40       28920    27792   
271    0.010070     36340.22       36584    34505   
301    0.012117     44917.15       45150    43772   
331    0.014540     54366.38       54615    52724   
361    0.017018     64608.40       64980    62835   
391    0.019572     75881.75       76244    74354   
421    0.022525     88053.07       88410    85854   
451    0.024851     101130.00      101475   98919   
481    0.028907     115006.50      115437   111699  
511    0.031498     129815.26      130302   127302  
541    0.035490     145706.55      146070   144240  
571    0.038545     162205.03      162735   160844  
601    0.043656     179799.04      180294   177599  
631    0.047166     198226.96      198764   195990  
661    0.051381     217653.93      218127   215645  
691    0.056050     237788.48      238395   235235  
721    0.059923     258779.55      259560   255732  
751    0.066540     280915.12      281624   277797  
781    0.072836     303867.83      304580   301740  
811    0.078244     327712.08      328455   325295  
841    0.082904     352465.11      353214   349899  
871    0.089613     378053.15      378884   375399  
901    0.095173     404681.38      405450   401264  
931    0.099288     432003.62      432912   428355  
961    0.106539     460452.99      461274   458354  
991    0.111594     489624.45      490545   485792  
1021   0.118585     519731.39      520700   515957  
1051   0.126605     550757.10      551774   546825  
1081   0.134666     582767.44      583737   579180  
1111   0.141019     615610.81      616599   611949  
1141   0.151532     649424.44      650367   645420  
1171   0.156944     683927.31      685025   678930  
1201   0.165392     719642.35      720594   715449  
1231   0.173387     755878.96      757065   750510  
1261   0.182471     793279.61      794415   788652  
1291   0.191095     831349.12      832674   823917  
1321   0.202142     870587.60      871860   864720  
1351   0.209204     910838.20      911925   906672  
1381   0.216025     951628.73      952862   948137  
1411   0.226714     993564.96      994752   987852  
1441   0.235307     1036020.33     1037484  1030499 
1471   0.244732     1079804.34     1081185  1075299 
1501   0.254704     1124425.62     1125744  1118247 
1531   0.268082     1169714.54     1171209  1163955 
1561   0.281496     1215992.53     1217574  1209954 
1591   0.283681     1263311.71     1264844  1258629 
1621   0.301722     1311665.82     1313007  1307550 
