N      Time         Average_OB     Max_OB   Min_OB  
1      0.000031     0.00           0        0       
21     0.001019     101.26         155      57      
41     0.002733     393.38         527      249     
61     0.006150     882.86         1183     627     
81     0.006423     1557.41        1981     1121    
101    0.005857     2424.59        2954     1895    
121    0.010833     3492.79        4204     2855    
141    0.009610     4754.21        5530     3891    
161    0.011405     6170.16        7092     5148    
181    0.015118     7846.61        9564     6539    
201    0.017733     9650.81        11103    8117    
221    0.021589     11674.02       13405    9659    
241    0.023684     13934.24       15831    11809   
261    0.027558     16323.08       18563    14109   
281    0.032399     18836.23       21568    16328   
301    0.036677     21747.32       25371    19495   
321    0.041476     24693.86       27898    21887   
341    0.046628     27894.31       32044    24269   
361    0.054366     31250.69       35258    27017   
381    0.057944     34859.74       38060    30548   
401    0.064340     38494.95       43221    34137   
421    0.070301     42568.64       46875    38700   
441    0.076465     46574.36       52370    41993   
461    0.085582     51041.62       56852    46631   
481    0.090910     55559.45       61656    49830   
501    0.099052     60374.31       67379    54815   
521    0.106789     65216.82       71923    59231   
541    0.112348     70261.16       76848    63747   
561    0.120201     75461.85       81586    67624   
581    0.130937     80980.29       89115    72033   
601    0.136446     86692.47       96321    78752   
621    0.147800     92559.41       99756    83837   
641    0.157313     98647.60       108200   89996   
661    0.168251     104889.62      116295   96178   
681    0.176523     111156.78      121453   100980  
701    0.186792     117983.72      129379   107593  
721    0.196177     124770.56      136069   115198  
741    0.210502     131770.43      141415   119060  
761    0.221336     138945.52      153555   127111  
781    0.228619     146537.33      157864   135199  
801    0.248609     153945.63      164753   141577  
821    0.258255     161865.88      175783   150184  
841    0.269093     169917.55      181927   156269  
861    0.280716     178026.91      192531   162325  
881    0.299106     186288.56      203560   171213  
901    0.309180     194858.86      208730   181356  
921    0.325119     203939.81      220755   185640  
941    0.338259     212579.25      230553   194895  
961    0.347499     221693.17      239767   205901  
981    0.367602     231139.95      246720   216625  
